10656
ATR-X syndrome	C538258
Deafness, Autosomal Recessive 66	C565701
HBV-HIV co-infected	D006509
VLCAD deficiency	C536353
hyperprolactinemic	D006966
LIVER FAILURE, INFANTILE, TRANSIENT	613070
Spinocerebellar Ataxia, X-Linked 1	C563134
Laryngo onycho cutaneous syndrome	C537032
precancerous lesions	D011230
comatose	D003128
Substance-Related Disorders	D019966
cerebral vascular accident	D020521
Carcinoma, Embryonal	D018236
Retinitis Pigmentosa 26	C564249
Galactosemias	D005693
Spinocerebellar Degenerations	D013132
extrapyramidal syndrome	D001480
Heart Failure	D006333
Hyperlipoproteinemia Type III	D006952
Hearing Loss, Bilateral	D006312
Dysentery, Amebic	D004404
cutaneous small vessel vasculitis	C565222
renal calculi	D007669
reduction in systolic BP	D007022
Optic atrophy 1 and deafness	C537124
CILIARY DYSKINESIA, PRIMARY, 30	616037
Alveolar capillary dysplasia	C536590
Muscular Dystrophy, Oculopharyngeal	D039141
ACHROMATOPSIA 7	616517
DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 3	613990
vision and hearing loss	D034381
Retinal Diseases	D012164
SPERMATOGENIC FAILURE, X-LINKED, 2	309120
coagulopathy	D001778
Smith-McCort Dysplasia	C564589
Hyperbilirubinemia, Transient Familial Neonatal	C562692
CILIARY DYSKINESIA, PRIMARY, 21	615294
Nesidioblastosis	D046768
Renal Insufficiency, Chronic	D051436
myelodysplastic	D009190
Primary ciliary dyskinesia, 3	C535278
damage of neuronal cells	D001930
CARDIOMYOPATHY, DILATED, 1II	615184
ischemic stroke	D002544
hemorrhagic infarct	D002543
Extrapyramidal syndrome	D001480
Leukoencephalopathy, Cystic, Without Megalencephaly	C567845
CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 26	617047
Scapuloperoneal Syndrome, Neurogenic, Kaeser Type	C566695
Werner Syndrome	D014898
Syndactyly Cenani Lenz type	C538150
ATRIAL FIBRILLATION, FAMILIAL, 11	614049
Cataract and cardiomyopathy	C538280
Hypertension, Renovascular	D006978
bacteremias	D016470
Combined Oxidative Phosphorylation Deficiency 5	C567126
Anemia, Sideroblastic	D000756
renal abnormality	D007674
CILIARY DYSKINESIA, PRIMARY, 32	616481
calcification of the artery	D061205
NEPHROTIC SYNDROME, TYPE 5, WITH OR WITHOUT OCULAR ABNORMALITIES	614199
Meningitis, Haemophilus	D008583
Carcinogenesis	D063646
Macular dystrophy, corneal type 1	C537834
GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS	138800
lymphadenitis	D008199
torsade de pointes	D016171
CATARACT 3, MULTIPLE TYPES	601547
Thrombophilia	D019851
SYMPHALANGISM, PROXIMAL, 1B	615298
Hypercholesterolemia	D006937
Livedo Reticularis	D054068
Retinitis Pigmentosa 33	C563676
Hypomania	D001714
acute lymphoblastic leucemia	D054198
metabolic derangement	D008659
Alternating hemiplegia of childhood	C536589
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 14	612460
a reduced locomotor activity	D001523
Ventricular Dysfunction	D018754
MYOPATHY, ISOLATED MITOCHONDRIAL, AUTOSOMAL DOMINANT	616209
Spastic paraplegia 10, autosomal dominant	C537482
Dysfibrinogenemia, Congenital	C562727
Wiskott-Aldrich Syndrome	D014923
Colorectal Neoplasms	D015179
Hodgkin lymphoma	D006689
Cardiovascular Diseases	D002318
MYOPATHY, SPHEROID BODY	182920
Leucocytoclastic vasculitis	D018366
SVC syndrome	D013479
Facioscapulohumeral Muscular Dystrophy 1B	C563557
preeclampsia	D011225
neuronal damage	D009410
HIV antibody-positive	D015658
Cardiomyopathy, Dilated, 1x	C566907
SPONDYLOEPIMETAPHYSEAL DYSPLASIA, X-LINKED, WITH HYPOMYELINATING LEUKODYSTROPHY	300232
ischemic	D007511
Movement Disorders	D009069
Hypotrichosis-Lymphedema-Telangiectasia Syndrome	C564327
cognitive deterioration	D003072
weight gain	D015430
Hirsutism	D006628
Lathosterolosis	C537880
Pulmonary Heart Disease	D011660
Bifid Nose With Or Without Anorectal And Renal Anomalies	C567672
PEROXISOME BIOGENESIS DISORDER 8A (ZELLWEGER)	614876
thrombosis of both the ICA and the venous sinus	D012851
impaired fear recognition	D001925
cardiovascular diseases	D002318
acute alcohol intoxication	D000435
Spastic paraplegia 15, autosomal recessive	C536642
Acquired CJD	C538481
Contiguous Abcd1-Dxs1375e Deletion Syndrome	C564508
Heart failure	D006333
Hyperprolactinemia	D006966
OSTEOPETROSIS, AUTOSOMAL RECESSIVE 8	615085
Deafness, Autosomal Recessive 67	C565207
cystoid macular edema	D008269
sleep deprivation	D012892
Neutrophil Immunodeficiency Syndrome	C564275
Protein Deficiency	D011488
Ehlers-Danlos syndrome type 6	C536198
Hematoma	D006406
embolism	D004617
BARAITSER-WINTER SYNDROME 1	243310
Neurofibrosarcoma	D018319
Microphthalmia, Isolated, with Cataract 2	C565876
EXOSTOSES, MULTIPLE, TYPE II	133701
RETINITIS PIGMENTOSA 74	616562
HYPOMAGNESEMIA 6, RENAL	613882
Muscle Cramp	D009120
birth defects	D000014
gastrointestinal symptoms	D012817
Toxicity	D064420
hyporeninemic hypoaidosteronism	D006994
SPASTIC PARAPLEGIA 79, AUTOSOMAL RECESSIVE	615491
Cerebellar Neoplasms	D002528
Spherocytosis, Type 4	C567208
Intestinal Neoplasms	D007414
ocular hypertension	D009798
Vasculitis, Leukocytoclastic, Cutaneous	D018366
disorientation	D003221
chorioretinal atrophy	C566236
Respiratory failure	D012131
Anthrax	D000881
Teratocarcinoma	D018243
dizziness	D004244
Amebiasis	D000562
Pena Shokeir syndrome, type 1	C536647
acute myocardial infarction	D009203
Parietal Foramina	C566826
Hemolytic Uremic Syndrome	D006463
Excitotoxicity	-1
MEND SYNDROME	300960
Acrodysostosis	C538179
Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type II	C565531
Oculocutaneous albinism type 2	C537730
Conjunctival blanching	D003229
Neoplasms, Fibrous Tissue	D018218
Epididymitis	D004823
Leiomyoma	D007889
Craniodiaphyseal Dysplasia, Autosomal Dominant	C567275
Tic disorders	D013981
Ceroid lipofuscinosis, neuronal 1, infantile	C537948
Hyperaldosteronism	D006929
Tetanus	D013742
HEMOCHROMATOSIS, TYPE 5	615517
muscle dysfunction	D018908
ALL	D054198
Spina Bifida Cystica	D016137
Lynch Syndrome II	D055847
carcinoma of the oral cavity	D009062
Mixed Tumor, Mullerian	D018200
BARAITSER-WINTER SYNDROME 2	614583
dysplasia of fetal kidneys	D007674
Intestinal Polyps	D007417
Axenfeld-Rieger syndrome	C535679
Split-Hand-Foot Malformation 4	C565344
Antithrombin III Deficiency	D020152
Long Qt Syndrome 3	C565840
Posterior Leukoencephalopathy Syndrome	D054038
RETINITIS PIGMENTOSA 77	617304
pain-intolerant	D006930
WAGR Syndrome	D017624
Uveitis	D014605
atherosclerotic	D050197
Autoimmune diseases	D001327
Deafness, Aminoglycoside-Induced	C564013
Vulvitis	D014847
respiratory failure	D012131
cerebral hemorrhage	D002543
Anemia, Hemolytic, Congenital Nonspherocytic	D000746
Sigmoid Neoplasms	D012811
Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi	C567863
fulminant hepatic failure	D017114
thromboembolic disease	D013923
Cystinosis, Late-Onset Juvenile or Adolescent Nephropathic Type	C562683
Gait Ataxia	D020234
deterioration of learning and short-term memory	D008569
Epidermolysis Bullosa Dystrophica	D016108
Depressive Disorder	D003866
FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 2	613625
gram-negative bacillary infections	D016905
Dyschromatosis Universalis Hereditaria 1	C567273
Genetic Diseases, X-Linked	D040181
massive hepatocellular necrosis	D047508
Neoplasms, Squamous Cell	D018307
LEOPARD syndrome, 2	C537117
renal cell cancer	D002292
Immune dysfunction with T-cell inactivation due to calcium entry defect 2	C557827
Huntington Disease	D006816
AF	D001281
atrophy	D009133
Schizophrenia	D012559
Parapsoriasis	D010267
Deficits in learning and memory	D008569
Osteolysis	D010014
Virus Diseases	D014777
Ventricular Dysfunction, Right	D018497
decreased cardiac output	D002303
Microcephaly	D008831
cerebral aneurysms	D002532
Thyroid Dyshormonogenesis 2A	C563206
Complement Factor H Deficiency	C562875
SPONDYLOPERIPHERAL DYSPLASIA	271700
Hidradenitis Suppurativa	D017497
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 14	614020
migraineurs (without aura)	D020326
VF	D014693
Ventricular arrhythmias	D001145
Ehlers-Danlos syndrome type 2	C536195
Martin-Probst Deafness-Mental Retardation Syndrome	C564495
Bile Acid Synthesis Defect, Congenital, 3	C566340
ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS	207410
Purpura	D011693
Halothane Hepatitis	C562477
Epilepsy, Rolandic	D019305
nutritional deficiency	D044342
hyperprolactinemia	D006966
Foot Deformities	D005530
Immunodeficiency due to Defect in MAPBP-Interacting Protein	C563663
myocardial strain	D009202
Anorexia	D000855
Alpha-ketoglutarate dehydrogenase deficiency	C536582
Diverticulitis, Colonic	D004239
Gout	D006073
OSTEOGENESIS IMPERFECTA, TYPE XIII	614856
Wallerian Degeneration	D014855
hemorrhage cystitis	D003556
Monosomy	D009006
Palatal Neoplasms	D010157
pollakisuria	D014555
Cerebrospinal Fluid Otorrhea	D002558
Hypovolemia	D020896
glomerular diseases	D007674
RUIJS-AALFS SYNDROME	616200
atrioventricular reentrant tachycardia	D013611
Brain Injuries, Diffuse	D000070625
Mycoplasma Infections	D009175
Congenital Disorder Of Glycosylation, Type Im	C563666
Renal Tubular Acidosis, Distal, With Hemolytic Anemia	C566910
eosinophilia	D004802
CVA	D020521
Colorectal Adenomatous Polyposis, Autosomal Recessive	C563924
PEROXISOME BIOGENESIS DISORDER 12A (ZELLWEGER)	614886
Situs Inversus	D012857
CANDIDIASIS, FAMILIAL, 8	615527
MUSCULAR DYSTROPHY, CONGENITAL, DAVIGNON-CHAUVEAU TYPE	617066
Disease Susceptibility	D004198
Thyroid Neoplasms	D013964
Exfoliation Syndrome	D017889
arteriopathic	D014652
HIV infection	D015658
Corneal dystrophy, epithelial basement membrane	C535477
Primary ciliary dyskinesia, 2	C535277
Neutral Lipid Storage Disease with Myopathy	C565192
Cholestasis, progressive familial intrahepatic 3	C535935
Uncombable hair syndrome	C536939
Optic atrophy polyneuropathy deafness	C537129
Cataract, Autosomal Dominant	C565815
Silver-Russell Syndrome	D056730
Spastic paraplegia type 5A, recessive	C536871
contractures	D003286
amenorrhea	D000568
CILIARY DYSKINESIA, PRIMARY, 35	617092
IRAK4 Deficiency	C564352
MYOPIA 25, AUTOSOMAL DOMINANT	617238
hypotony	D015814
preneoplastic foci	D011230
Urticaria	D014581
Sleep Disorders, Circadian Rhythm	D020178
MENTAL RETARDATION, AUTOSOMAL DOMINANT 31	616158
pathology at both the neuromuscular junction	D009468
Histiocytoma, Benign Fibrous	D018219
cranial neuropathy	D003389
Copper-Overload Cirrhosis	C566858
systemic lupus erythematodes	D008180
AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE	615214
Giant Axonal Neuropathy, Autosomal Dominant	C566444
Griscelli syndrome type 3	C537303
OCD	D009771
Anemia, Diamond-Blackfan	D029503
Compression neuropathy of the radial nerve	D020425
Renal Insufficiency	D051437
Multiple Endocrine Neoplasia, Type IV	C567059
Mandibuloacral dysplasia with type A lipodystrophy	C535705
IDDM	D003922
Somatoform Disorders	D013001
extrahepatic cholestasis	D001651
Sepsis	D018805
MC	D009224
absent kidneys and ureters	-1
Hemorrhagic Disorders	D006474
antisocial disorder	D000987
SPERMATOGENIC FAILURE 12	615413
Preeclamptic toxemia	C538543
PONTOCEREBELLAR HYPOPLASIA, TYPE 1B	614678
Prostatic Hyperplasia	D011470
Guillain-Barre Syndrome	D020275
Fabry Disease	D000795
Rupture, Spontaneous	D012422
Vascular Remodeling	D066253
Thalamic Diseases	D013786
Maxillary Diseases	D008439
drop in blood pressure	D007022
malaise	D005221
Skin Ulcer	D012883
mastitis	D008413
CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 1	614039
Hypopituitarism and septooptic 'dysplasia'	C531815
ALAZAMI-YUAN SYNDROME	617126
ABS	D054549
corneal abrasion	D003316
Night Blindness, Congenital Stationary, Autosomal Dominant 2	C566869
overactive bladder	D053201
Pasteurella Infections	D010326
psychobiological dysfunction	D008107
Greig cephalopolysyndactyly syndrome	C537300
neuropathic pain	D009437
Retinitis Pigmentosa 27	C563526
Mycobacterium Infections	D009164
thrombotic	D013927
Cancer	D009369
Ablepharon macrostomia syndrome	C535557
Joubert Syndrome 7	C566916
Hyperuricemic Nephropathy, Familial Juvenile 2	C567760
Encephalopathy, Bovine Spongiform	D016643
ALPORT SYNDROME 1, X-LINKED	301050
AUTOINFLAMMATION WITH ARTHRITIS AND DYSKERATOSIS	617388
hepatocellular damage	D056486
MIRROR MOVEMENTS 3	616059
FHF	D017114
eosinophilic myocarditis	D004802
Albinism, Oculocutaneous	D016115
Prader-Willi Syndrome	D011218
Carpal Tunnel Syndrome	D002349
Transplantation-associated microangiopathy	D014652
MB	-1
Hypopituitarism	D007018
Phyllodes Tumor	D003557
Language Disorders	D007806
vascular events	D014652
Neoplasm Micrometastasis	D061206
Malnutrition	D044342
MYOCLONIC EPILEPSY, FAMILIAL INFANTILE	605021
Adenoma, Bile Duct	D002759
Achalasia microcephaly	C536010
pain in the legs and/or back	D001416
Legg-Calve-Perthes Disease	D007873
neurologic depression	D003866
immunocytoma	-1
DEAFNESS, AUTOSOMAL RECESSIVE 70	614934
Argentine hemorrhagic fever	D006478
Cardiac Complexes, Premature	D005117
anaphylaxis	D000707
parkinsonism	D010300
Osteitis	D010000
Hernia	D006547
Immunologic Deficiency Syndromes	D007153
Eye Hemorrhage	D005130
Adenoviridae Infections	D000257
hypomanic	D001714
Congenital Disorder of Glycosylation, Type Io	C567857
TARP syndrome	C536942
Epilepsy, Female-Restricted, with Mental Retardation	C564715
Peliosis Hepatis	D010382
ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 2	608584
Prostate Cancer, Hereditary, 12	C567510
Hematemesis	D006396
intraventricular conduction abnormalities	D006345
Carcinoma, Hepatocellular	D006528
radiation injury	D011832
Spastic Paraplegia 28, Autosomal Recessive	C563732
right heart failure	D006333
Ebstein Anomaly	D004437
Proud Syndrome	C563110
Snake Bites	D012909
Neurocysticercosis	D020019
ocular toxicity	D005128
Ocular Motility Disorders	D015835
Mitochondrial cytopathy	C540770
CONE-ROD DYSTROPHY, X-LINKED, 1	304020
Juvenile polyposis syndrome	C537702
Mucopolysaccharidosis III	D009084
hepatic insufficiency syndrome	D048550
Hyperkeratosis, Epidermolytic	D017488
CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC	617402
Proctocolitis	D011350
Damage of substantia nigra pars reticulata	D001930
peripheral vascular disease	D016491
Hypobetalipoproteinemia, Familial, 1	C566267
Carnitine Palmitoyltransferase II Deficiency, Infantile	C563462
Anemia, Pernicious	D000752
Moyamoya Disease	D009072
hepatitis E	D016751
CRANIOSYNOSTOSIS AND DENTAL ANOMALIES	614188
Neoplasms, Hormone-Dependent	D009376
Spinocerebellar Ataxia 15	C564685
Vitamin B 12 Deficiency	D014806
Antley-Bixler Syndrome Phenotype	D054882
polycystic ovary syndrome	D011085
Deafness, X-Linked 5	C564472
Nephrogenic Syndrome of Inappropriate Antidiuresis	C564491
deterioration of learning and short-term memory	D007859
Anus Diseases	D001004
Anemia, Dyserythropoietic, Congenital	D000742
Mental Retardation, X-Linked	D038901
Lymphoma, Primary Effusion	D054685
Sertoli-Leydig Cell Tumor	D018310
URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 4	612671
Dermatitis, Atopic	D003876
acute renal failure	D058186
DEAFNESS, AUTOSOMAL RECESSIVE 93	614899
Cleft Lip	D002971
Neuropathy ataxia and retinitis pigmentosa	C537396
Congenital disorder of glycosylation type 1L	C535750
MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION	152950
Bardet-Biedl syndrome 2	C537910
Skin Diseases, Infectious	D012874
menopausal symptoms	D008594
myodystrophy	D009136
Hypermanganesemia with Dystonia Polycythemia and Cirrhosis	C548016
Myopathy with Lactic Acidosis, Hereditary	C564972
PA	D011471
sinusitis	D012852
Gestational Trophoblastic Disease	D031901
Rhinitis, Allergic	D065631
hypotension	D007022
glioblastoma multiforme	D005909
Congenital disorder of glycosylation, type 2C	C535755
Zimmerman Laband syndrome	C536725
gall stone	D042882
Hip Dysplasia, Beukes Type	C564185
sweating	D013547
muscle fasciculation	D005207
Severe combined immunodeficiency with sensitivity to ionizing radiation	C537589
valvulopathy	D006349
Hepatitis B	D006509
SPONDYLOEPIPHYSEAL DYSPLASIA WITH CONGENITAL JOINT DISLOCATIONS	143095
Hypothyroidism, Congenital, Nongoitrous, 5	C567123
Tennis Elbow	D013716
Pigmented Nodular Adrenocortical Disease, Primary, 1	C566469
Valproic acid antenatal infection	C536525
choreic mid-dose dyskinesias	D004409
Sulfhemoglobinemia	D013436
Cognitive Dysfunction	D060825
Nocturnal Enuresis	D053206
Eye Diseases	D005128
dysarthria	D004401
kidney tubular dysfunction	D007674
Congenital Microtia	D065817
bipolar I disorder	D001714
Hepatic dysfunction	D008107
Splenic Diseases	D013158
Microangiopathic hemolytic anemia	D000743
cataract	D002386
Ventricular fibrillation	D014693
Arrest of spermatogenesis	C536875
Cataract, posterior polar, 3	C535343
Goldberg-Shprintzen megacolon syndrome	C537279
OLMSTED SYNDROME 1	614594
CLE	D008178
Spinal cord ischemia	D020760
pigmentary retinal deposits	D012164
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 52	617350
Neurogenic Inflammation	D020078
Intestinal Volvulus	D045822
Hyperostosis	D015576
Gonorrhea	D006069
Buruli Ulcer	D054312
Split-Hand-Foot Malformation 6	C567616
pulmonary emboli	D011655
neurological toxicity	D009422
Thyroid Dyshormonogenesis 5	C562771
Leg and/or back pain	D001416
neurovascular complications	D013901
MICROCEPHALY, SHORT STATURE, AND IMPAIRED GLUCOSE METABOLISM 1	616033
impairment of learning and memory	D003072
Immunoproliferative Disorders	D007160
Cardiac Conduction System Disease	D000075224
Premature Ovarian Failure 5	C566921
Refsum Disease	D012035
inflammatory facial dermatoses	D005148
Xeroderma Pigmentosum, Complementation Group G	C562593
Pseudoacromegaly	D004194
liver toxicity	D056486
CATARACT 20, MULTIPLE TYPES	116100
Oculodentodigital Dysplasia	C563160
Diamond-Blackfan Anemia 10	C567649
Leukostasis	D018921
VATER association	C536534
Robinow syndrome, autosomal recessive	C535863
Fibrous Dysplasia of Bone	D005357
CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE D	616039
Cerebral vasculitis	D020293
toxocity	D064420
Papillomas	D010212
lymphoblastic lymphoma	D054198
Pulpitis	D011671
neuromuscular blockade	D020879
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART	616975
vasculitic	D014657
ischemic injury	D017202
neuromuscular dysfunction	D009468
Dental Enamel Hypoplasia	D003744
Uterine Neoplasms	D014594
deaths	D003643
colon carcinoma	D003110
Colorectal Neoplasms, Hereditary Nonpolyposis	D003123
Injury to the kidney	D058186
Epidermolysis bullosa dystrophica, Pasini type	C535956
EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 2	617174
Facial Neuralgia	D005156
schizophrenia	D012559
Gastroparesis	D018589
Cardiac arrhythmias	D001145
chill	D023341
Laryngostenosis	D007829
Myalgia	D063806
Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly	C563840
Adenosine monophosphate deaminase deficiency	C538234
Ichthyosis with hypotrichosis, autosomal recessive	C536273
Ataxia with vitamin E deficiency	C535393
Miyoshi Muscular Dystrophy 3	C567645
HYPOGONADOTROPIC HYPOGONADISM 9 WITH OR WITHOUT ANOSMIA	614838
thromboembolic	D013923
asthenia	D001247
Peptic Ulcer Perforation	D010439
rhabdomyolysis	D012206
Congenital Disorder Of Glycosylation, Type In	C567437
Protozoan Infections	D011528
acute hepatitis	D017114
Winkelman Bethge Pfeiffer syndrome	C536710
Graft-versus-host disease	D006086
Bardet-Biedl Syndrome 9	C565918
PARKINSON DISEASE 19A, JUVENILE-ONSET	615528
Nocardia Infections	D009617
Ocular and auditory toxicity	D006311
disturbances within the cardiovascular system	D002318
Muscle Rigidity	D009127
Cardiovascular Abnormalities	D018376
Hypertrichosis	D006983
Deafness, Autosomal Dominant 25	C565319
Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, NK Cell-Positive	C563311
diseased kidney	D007674
ureteric calculi	D014514
Syndrome of inappropriate antidiuretic hormone	D007177
Laurin-Sandrow syndrome	C535689
renal papillary necrosis	D007681
Charcot-Marie-Tooth Disease, Dominant Intermediate C	C564257
Barakat syndrome	C537907
Vascular Malformations	D054079
Cerebral haemorrhage	D002543
